simulation_idx,step_idx,mse,scale
0,86,3.259472214267589e-05,1
0,87,3.276193092460744e-05,1
0,88,3.2448235288029537e-05,1
0,89,3.3885047741932794e-05,1
0,90,3.44181498803664e-05,1
0,91,3.527423905325122e-05,1
0,92,3.608790575526655e-05,1
0,93,3.581806959118694e-05,1
0,94,3.534111237968318e-05,1
0,95,3.5321270843269303e-05,1
0,96,3.5278175346320495e-05,1
0,97,3.603148434194736e-05,1
0,98,3.6044366424903274e-05,1
0,99,3.616495450842194e-05,1
1,0,1.1442959475971293e-05,1
1,1,1.0972611562465318e-05,1
1,2,1.0944428140646778e-05,1
1,3,1.0923918125627097e-05,1
1,4,1.0811335414473433e-05,1
1,5,1.1098037248302717e-05,1
1,6,1.1146758879476693e-05,1
1,7,1.1446091775724199e-05,1
1,8,1.1729325706255622e-05,1
1,9,1.155457448476227e-05,1
1,10,1.2006351425952744e-05,1
1,11,1.2594681720656808e-05,1
1,12,1.258101110579446e-05,1
1,13,1.2764132407028228e-05,1
1,14,1.3716103239858057e-05,1
1,15,1.4621028640249278e-05,1
1,16,1.5065367733768653e-05,1
1,17,1.559169868414756e-05,1
1,18,1.5988047380233184e-05,1
1,19,1.6436415535281412e-05,1
1,20,1.6851863620104268e-05,1
1,21,1.7922566257766448e-05,1
1,22,1.8300657757208683e-05,1
1,23,1.895993591460865e-05,1
1,24,1.987324321817141e-05,1
1,25,2.0186800611554645e-05,1
1,26,2.1159194147912785e-05,1
1,27,2.1756964997621253e-05,1
1,28,2.2769387214793824e-05,1
1,29,2.3231921659316868e-05,1
1,30,2.3504198907176033e-05,1
1,31,2.4120299713104032e-05,1
1,32,2.4217224563471973e-05,1
1,33,2.456705624354072e-05,1
1,34,2.500294431229122e-05,1
1,35,2.551226680225227e-05,1
1,36,2.5662860934971832e-05,1
1,37,2.5953306248993613e-05,1
1,38,2.711682827793993e-05,1
1,39,2.6819869162864052e-05,1
1,40,2.717708412092179e-05,1
1,41,2.8219190426170826e-05,1
1,42,2.868227420549374e-05,1
1,43,2.838427280948963e-05,1
1,44,2.7637679522740655e-05,1
1,45,2.9120274120941758e-05,1
1,46,3.0201472327462398e-05,1
1,47,3.0385284844669513e-05,1
1,48,3.006340739375446e-05,1
1,49,3.066728822886944e-05,1
1,50,3.133161226287484e-05,1
1,51,3.184155866620131e-05,1
1,52,3.256534910178743e-05,1
1,53,3.255958290537819e-05,1
1,54,3.237167402403429e-05,1
1,55,3.259797813370824e-05,1
1,56,3.377223765710369e-05,1
1,57,3.489839946269058e-05,1
1,58,3.658645073301159e-05,1
1,59,3.731455217348412e-05,1
1,60,3.9662696508457884e-05,1
1,61,4.1774903365876526e-05,1
1,62,4.338539656600915e-05,1
1,63,4.552864993456751e-05,1
1,64,4.757638453156687e-05,1
1,65,4.9129099352285266e-05,1
1,66,4.9509424570715055e-05,1
1,67,5.079319453216158e-05,1
1,68,5.1396909839240834e-05,1
1,69,5.1463630370562896e-05,1
1,70,5.1084545702906325e-05,1
1,71,5.152081939741038e-05,1
1,72,5.20731664437335e-05,1
1,73,5.298017640598118e-05,1
1,74,5.377640627557412e-05,1
1,75,5.456451253849082e-05,1
1,76,5.4238167649600655e-05,1
1,77,5.4467393056256697e-05,1
1,78,5.474734280142002e-05,1
1,79,5.4532265494344756e-05,1
1,80,5.3318904974730685e-05,1
1,81,5.1299186452524737e-05,1
1,82,5.0304010073887184e-05,1
1,83,4.977819844498299e-05,1
1,84,4.9670041335048154e-05,1
1,85,4.991034438717179e-05,1
1,86,4.936342520522885e-05,1
1,87,4.9405738536734134e-05,1
1,88,4.83037147205323e-05,1
1,89,4.856883242609911e-05,1
1,90,4.83528601762373e-05,1
1,91,4.839386747335084e-05,1
1,92,4.823872586712241e-05,1
1,93,4.8054800572572276e-05,1
1,94,4.8267040256178007e-05,1
1,95,4.808983067050576e-05,1
1,96,4.754118708660826e-05,1
1,97,4.711924339062534e-05,1
1,98,4.669529153034091e-05,1
1,99,4.6143126382958144e-05,1
2,0,2.6430501748109236e-05,1
2,1,2.706312807276845e-05,1
2,2,2.7916883482248522e-05,1
2,3,2.8396698326105252e-05,1
2,4,2.892856537073385e-05,1
2,5,2.9995106160640717e-05,1
2,6,3.132987330900505e-05,1
2,7,3.214142634533346e-05,1
2,8,3.230894435546361e-05,1
2,9,3.19812934321817e-05,1
2,10,3.216815457562916e-05,1
2,11,3.201017898391001e-05,1
2,12,3.224204556318e-05,1
2,13,3.2054140319814906e-05,1
2,14,3.102210757788271e-05,1
2,15,3.0618117307312787e-05,1
2,16,3.020007352461107e-05,1
2,17,2.9889473807998e-05,1
2,18,2.9226841434137896e-05,1
2,19,2.8556742108776234e-05,1
2,20,2.8885149731650017e-05,1
2,21,2.8273285352042876e-05,1
2,22,2.87825423583854e-05,1
2,23,2.8910948458360508e-05,1
2,24,2.8854890842922032e-05,1
2,25,2.860141648852732e-05,1
2,26,2.833765211107675e-05,1
2,27,2.8352491426630877e-05,1
2,28,2.880427746276837e-05,1
2,29,2.9036635169177316e-05,1
2,30,2.8544152883114293e-05,1
2,31,2.8525988454930484e-05,1
2,32,2.8539176128106192e-05,1
2,33,2.8302150894887745e-05,1
2,34,2.757902620942332e-05,1
2,35,2.7316646082908846e-05,1
2,36,2.658169250935316e-05,1
2,37,2.5721490601426922e-05,1
2,38,2.531394420657307e-05,1
2,39,2.4953036700026132e-05,1
2,40,2.443093399051577e-05,1
2,41,2.430020504107233e-05,1
2,42,2.4543025574530475e-05,1
2,43,2.372931885474827e-05,1
2,44,2.2698568500345573e-05,1
2,45,2.2136036932352e-05,1
2,46,2.1968660803395323e-05,1
2,47,2.1664303858415224e-05,1
2,48,2.1037791157141328e-05,1
2,49,2.0762125132023357e-05,1
2,50,2.0840981960645877e-05,1
2,51,2.237501939816866e-05,1
2,52,2.3317070372286253e-05,1
2,53,2.405653322057333e-05,1
2,54,2.5382614694535732e-05,1
2,55,2.5914603611454368e-05,1
2,56,2.693739952519536e-05,1
2,57,2.8400374503689818e-05,1
2,58,2.9575965527328663e-05,1
