simulation_idx,step_idx,mse,cardinality_target,cardinality_output,cardinality_truth,scale
0,0,3.872412344207987e-05,11.558530807495117,3.9816160202026367,12,1
0,1,3.672010643640533e-05,12.991113662719727,8.018619537353516,14,1
0,2,3.243460014346056e-05,11.786787033081055,4.70440673828125,12,1
0,3,3.372614082763903e-05,10.903722763061523,4.855875015258789,11,1
0,4,2.4745406335568987e-05,9.963218688964844,2.8707587718963623,10,1
0,5,3.097749868175015e-05,9.986526489257812,6.125689506530762,10,1
0,6,2.465528632455971e-05,9.99512767791748,4.387190341949463,10,1
0,7,3.330348044983111e-05,9.998420715332031,4.834798812866211,10,1
0,8,2.823021168296691e-05,10.99668025970459,5.859092712402344,11,1
0,9,2.9621776775456965e-05,9.993929862976074,5.993648052215576,10,1
0,10,2.5045626898645423e-05,9.992742538452148,5.738381385803223,10,1
0,11,2.6714606065070257e-05,9.992415428161621,4.255650520324707,10,1
0,12,2.7953306926065125e-05,8.991477966308594,3.5682971477508545,9,1
0,13,1.857635834312532e-05,7.990154266357422,2.8352959156036377,8,1
0,14,1.959752626135014e-05,8.987598419189453,2.9490363597869873,9,1
0,15,2.5806250050663948e-05,9.973194122314453,3.6947968006134033,10,1
0,16,1.9565683032851666e-05,9.901999473571777,4.456448554992676,10,1
0,17,2.6483688998268917e-05,10.575779914855957,5.500417709350586,11,1
0,18,2.5640178137109615e-05,9.631536483764648,1.826563835144043,10,1
0,19,2.3230069928104058e-05,8.937509536743164,3.2161865234375,9,1
0,20,1.9584775145631284e-05,7.801313400268555,3.50766921043396,8,1
0,21,2.4009619664866477e-05,6.988642692565918,2.5438082218170166,7,1
0,22,1.853940193541348e-05,6.99053955078125,4.485976696014404,7,1
0,23,1.5868368791416287e-05,6.990585803985596,3.528914213180542,7,1
0,24,2.5497060050838627e-05,7.7972211837768555,5.422672271728516,8,1
0,25,2.4262517399620265e-05,7.906347751617432,4.300139904022217,8,1
0,26,1.68374135682825e-05,6.913730144500732,3.3841967582702637,7,1
0,27,2.590760777820833e-05,6.787566661834717,4.075374126434326,7,1
0,28,2.2412101316149347e-05,5.837332725524902,2.859466314315796,6,1
0,29,1.2735614291159436e-05,4.690159797668457,0.5123226642608643,5,1
0,30,8.392476047447417e-06,3.9863626956939697,0.8984368443489075,4,1
0,31,3.4036963825201383e-06,1.982928991317749,-0.35840094089508057,2,1
0,32,7.495942099922104e-06,1.9733165502548218,-0.20057490468025208,2,1
0,33,5.3152480177232064e-06,2.6207642555236816,-0.39042410254478455,3,1
0,34,9.831297575146891e-06,3.922412157058716,-0.8163966536521912,4,1
0,35,1.1663355508062523e-05,4.945884704589844,-0.20103642344474792,5,1
